Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Packet Length Mean,Packet Length Std,Max Packet Length,Min Packet Length,SYN Flag Count,ACK Flag Count,RST Flag Count,src_ip
6,11170.000000,10,12,3092,1022,368307.9677708146821844225604,1969.561324977618621307072516,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,11981.000000,10,12,3092,1022,343377.0136048743844420332193,1836.240714464568900759535932,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,11002.000000,14,14,3692,1166,441556.0807125977095073622978,2544.991819669151063443010362,173.5,261.0940580382042,1094,60,4,24,2,10.0.0.5
6,8951.000000,10,11,3092,942,450675.9021338397944363758239,2346.106580270360853535917775,192.0952380952381,296.40977182688687,1094,72,3,20,0,10.0.0.5
6,11968.000000,12,12,3236,1022,355782.0855614973262032085561,2005.347593582887700534759358,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,10492.000000,10,12,3092,1022,392108.2729698818147159740755,2096.835684330918795272588639,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,10386.000000,10,12,3092,1022,396110.1482765260928172539958,2118.236087040246485653764683,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,9207.000000,12,12,3236,1022,462474.2044096882806560225915,2606.712284131638970348647768,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,9937.000000,10,12,3092,1022,414008.2519875213847237596860,2213.947871591023447720640032,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
6,9092.000000,12,12,3236,1022,468323.8011438627364716234052,2639.683238011438627364716234,177.41666666666666,279.97573059503253,1094,72,4,22,0,10.0.0.5
6,11374.000000,12,14,3236,1142,384912.9593810444874274661509,2285.915245296289783717249868,168.3846153846154,270.80550456328456,1094,60,4,22,2,10.0.0.5
6,10196.000000,12,14,3236,1142,429384.0721851706551588858376,2550.019615535504119262455865,168.3846153846154,270.80550456328456,1094,60,4,22,2,10.0.0.5
6,9044.000000,10,12,3092,1022,454887.2180451127819548872180,2432.551968155683325961963733,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
